link,handle,isin,cusip,figi,ticker,name,issuer_name,issuer_type,issuer_jurisdiction,fund,framework_link,issuance_date,maturity_date,volume_usd,volume_bond_currency,bond_currency
https://www.greenbondtransparency.com/bond-info/?handle=ee7a68239dbe4664adad596c19403c93,ee7a68239dbe4664adad596c19403c93,US05674XAA90,05674XAA9,NA,NA,Suzano Papel e Celulose Green Bond 2026,Suzano Papel e Celulose,Non-Financial Corporate,Brazil,FALSE,NA,2016-07-14T00:00:00Z,2026-07-14T00:00:00Z,700000000,700000000,USD
https://www.greenbondtransparency.com/bond-info/?handle=ac1e3c0e77e8451281967844be46aafd,ac1e3c0e77e8451281967844be46aafd,NA,NA,NA,WREL#1_B,WREL#1 Note B,Williams Caribbean Capital,Non-Financial Corporate,Barbados,FALSE,NA,2020-06-30T00:00:00Z,2024-06-30T00:00:00Z,2000000,4000000,BBD
https://www.greenbondtransparency.com/bond-info/?handle=a70a185c981f45a483e6d1f133ccf7d2,a70a185c981f45a483e6d1f133ccf7d2,MX95FE0401P1,NA,NA,NA,FEFA 20V,Fondo Especial para Financiamientos Agropecuarios (FEFA),Development Bank,Mexico,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=a15f538c621d460dac7d16f40b18d701,2020-06-26T00:00:00Z,2023-06-23T00:00:00Z,130548303,3000000000,MXN
https://www.greenbondtransparency.com/bond-info/?handle=abd0c7b98f1b493c9940586652a55745,abd0c7b98f1b493c9940586652a55745,NA,NA,NA,PR_PL_MLP,Mesa La Paz Green Bond,Mesa La Paz,Non-Financial Corporate,Mexico,FALSE,NA,2018-05-21T00:00:00Z,2044-05-20T00:00:00Z,304150000,304150000,USD
https://www.greenbondtransparency.com/bond-info/?handle=d926bd6190f14503bf5981ccf4d7c715,d926bd6190f14503bf5981ccf4d7c715,USP14486AM92,P14486AM9,BBG00GM45ZM4,NA,BNDES Green Bond 2017,BNDES,Development Bank,Brazil,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=8248830a582148988b2d374bbe06b15d,2017-05-09T00:00:00Z,2024-05-09T00:00:00Z,1000000000,1000000000,USD
https://www.greenbondtransparency.com/bond-info/?handle=2fdfc64b87b840a397dbab7ef4863118,2fdfc64b87b840a397dbab7ef4863118,BROMNGDBS011,NA,NA,OMNG12,OMNG12,Omega Energia,Non-Financial Corporate,Brazil,FALSE,NA,2017-10-15T00:00:00Z,2029-12-15T00:00:00Z,69681997,220000000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=fe0a421accf44c3d96fa8f387676d503,fe0a421accf44c3d96fa8f387676d503,BROCTSCRA3B3,NA,NA,NA,CRA Eucalipto 2,FS Agribusiness,Non-Financial Corporate,Brazil,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=06916bad6f3d4631a2127d3f46ff766d,2021-11-18T00:00:00Z,2026-11-17T00:00:00Z,2884442,16000000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=6f267b54dd6942f79b3910d04d4f7d65,6f267b54dd6942f79b3910d04d4f7d65,US05971AAG67,NA,BBG00YS3V5H4,NA,BTG Pactual Green Bond,BTG Pactual,Financial Corporate,Brazil,FALSE,https://www.greenbondtransparency.com/download-document/?entity=Framework&handle=4fe1e360ebb54d2881c324702c05ca4c,2021-01-06T00:00:00Z,2026-01-11T00:00:00Z,500000000,500000000,USD
https://www.greenbondtransparency.com/bond-info/?handle=14a9f009a6c0487aa7122710957cc603,14a9f009a6c0487aa7122710957cc603,NA,NA,NA,WREL#1 Note F,WREL#1 Note F,Williams Caribbean Capital,Non-Financial Corporate,Barbados,FALSE,NA,2019-11-30T00:00:00Z,2023-11-30T00:00:00Z,2250000,4500000,BBD
https://www.greenbondtransparency.com/bond-info/?handle=c772aaa1d45c44249ab562e30a730690,c772aaa1d45c44249ab562e30a730690,BROMGEDBS069,NA,NA,OMGE13,OMGE13,Omega Energia,Non-Financial Corporate,Brazil,FALSE,NA,2021-03-15T00:00:00Z,2029-03-15T00:00:00Z,186514140,1050000000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=e9262b027b574458921d2b6cbacdfd08,e9262b027b574458921d2b6cbacdfd08,BRBEVELFNAW2,NA,NA,NA,LF serie 1,Banco BV S.A.,Financial Corporate,Brazil,FALSE,NA,2021-06-18T00:00:00Z,2024-07-01T00:00:00Z,16530815,83150000,BRL
https://www.greenbondtransparency.com/bond-info/?handle=44e27f4e41cc40a693f0cb8b082426ca,44e27f4e41cc40a693f0cb8b082426ca,31572UAF3,NA,NA,NA,Fibria Green Bond 2027,Suzano Papel e Celulose,Non-Financial Corporate,Brazil,FALSE,NA,2017-01-17T00:00:00Z,2027-01-17T00:00:00Z,700000000,700000000,USD
