bond_handle,bond_name,nomenclature,category,subcategory,project,location,date_allocation,date_disbursement,allocation_currency,allocated_allocation_currency,disbursed_allocation_currency,bond_currency,disbursed_bond_currency,disbursed_usd,refinancing,cofinancing_percentage
2713ee8efde4440b875f3a181f33a9f4,ISA CTEEP - 7ª Emissão,ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Aguapeí S.A. - 7°,Brazil,2018-04-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,125995175,125995175,BRL,125995175,24248027,FALSE,0.21
2713ee8efde4440b875f3a181f33a9f4,ISA CTEEP - 7ª Emissão,Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Ivai S.A. - 7°,Brazil,2018-04-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,113191521,67500000,BRL,67500000,12990512,FALSE,0.05
2713ee8efde4440b875f3a181f33a9f4,ISA CTEEP - 7ª Emissão,ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Ivai S.A. - 7°,Brazil,2018-04-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,113191521,67500000,BRL,67500000,12990512,FALSE,0.05
2713ee8efde4440b875f3a181f33a9f4,ISA CTEEP - 7ª Emissão,Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Aimorés S.A. - 7°,Brazil,2018-04-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,70191323,70191323,BRL,70191323,13508463,FALSE,0.21
2713ee8efde4440b875f3a181f33a9f4,ISA CTEEP - 7ª Emissão,ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Aimorés S.A. - 7°,Brazil,2018-04-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,70191323,70191323,BRL,70191323,13508463,FALSE,0.21
2713ee8efde4440b875f3a181f33a9f4,ISA CTEEP - 7ª Emissão,Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Paraguaçu S.A. - 7°,Brazil,2018-04-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,103849342,103849342,BRL,103849342,19986017,FALSE,0.2
2713ee8efde4440b875f3a181f33a9f4,ISA CTEEP - 7ª Emissão,ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Paraguaçu S.A. - 7°,Brazil,2018-04-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,103849342,103849342,BRL,103849342,19986017,FALSE,0.2
3e001fbc60b6457dbbb4e67ee69152c0,BAGUA-AE,ICMA Green Bonds Principles Project Categories,Water and wastewater,Wastewater treatment,Ampliación Tercera Planta De Tratamiento Aguas Servidas - 2019,Chile,2019-12-31T00:00:00Z,2019-12-31T00:00:00Z,CLP,1230293413,1230293413,CLF,43458,1652243,TRUE,0.16
3e001fbc60b6457dbbb4e67ee69152c0,BAGUA-AE,Climate Bonds Initiative Project Classification,Water,Treatment,Ampliación Planta De Tratamiento Aguas Servidas Buin-Maipo - 2019,Chile,2019-12-31T00:00:00Z,2019-12-31T00:00:00Z,CLP,2679123486,2679123486,CLF,94635,3597974,TRUE,0.58
3e001fbc60b6457dbbb4e67ee69152c0,BAGUA-AE,ICMA Green Bonds Principles Project Categories,Water and wastewater,Wastewater treatment,Ampliación Planta De Tratamiento Aguas Servidas Buin-Maipo - 2019,Chile,2019-12-31T00:00:00Z,2019-12-31T00:00:00Z,CLP,2679123486,2679123486,CLF,94635,3597974,TRUE,0.58
3e001fbc60b6457dbbb4e67ee69152c0,BAGUA-AE,Climate Bonds Initiative Project Classification,Water,Treatment,Ampliación Planta De Tratamiento De Aguas Servidas El Monte 2018 - 2019,Chile,2019-12-31T00:00:00Z,2019-12-31T00:00:00Z,CLP,2673957119,2673957119,CLF,94453,3591036,TRUE,0.74
3e001fbc60b6457dbbb4e67ee69152c0,BAGUA-AE,ICMA Green Bonds Principles Project Categories,Water and wastewater,Wastewater treatment,Ampliación Planta De Tratamiento De Aguas Servidas El Monte 2018 - 2019,Chile,2019-12-31T00:00:00Z,2019-12-31T00:00:00Z,CLP,2673957119,2673957119,CLF,94453,3591036,TRUE,0.74
3e001fbc60b6457dbbb4e67ee69152c0,BAGUA-AE,Climate Bonds Initiative Project Classification,Water,Treatment,Instalación Sistema de Tratamiento de Nitratos Biofactoría La Farfana,Chile,2019-12-31T00:00:00Z,2019-12-31T00:00:00Z,CLP,2602664365,2602664365,CLF,91935,3495292,FALSE,0.22
3e001fbc60b6457dbbb4e67ee69152c0,BAGUA-AE,ICMA Green Bonds Principles Project Categories,Water and wastewater,Wastewater treatment,Instalación Sistema de Tratamiento de Nitratos Biofactoría La Farfana,Chile,2019-12-31T00:00:00Z,2019-12-31T00:00:00Z,CLP,2602664365,2602664365,CLF,91935,3495292,FALSE,0.22
3e001fbc60b6457dbbb4e67ee69152c0,BAGUA-AE,Climate Bonds Initiative Project Classification,Energy,Bioenergy,Cogeneración Biofactoría Mapocho-Trebal,Chile,2019-12-31T00:00:00Z,2019-12-31T00:00:00Z,CLP,5235535493,5235535493,CLF,184936,7031151,FALSE,0.81
3e001fbc60b6457dbbb4e67ee69152c0,BAGUA-AE,ICMA Green Bonds Principles Project Categories,Renewable energy,Generation,Cogeneración Biofactoría Mapocho-Trebal,Chile,2019-12-31T00:00:00Z,2019-12-31T00:00:00Z,CLP,5235535493,5235535493,CLF,184936,7031151,FALSE,0.81
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itaúnas S.A. - 8°,Brazil,2018-12-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,56227650,56227650,BRL,56227650,10821125,FALSE,0.19
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itaúnas S.A. - 8°,Brazil,2018-12-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,56227650,56227650,BRL,56227650,10821125,FALSE,0.19
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itaquerê S.A. - 8°,Brazil,2018-12-15T00:00:00Z,2019-12-31T00:00:00Z,BRL,110096602,110096602,BRL,110096602,21188315,FALSE,0.28
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itaquerê S.A. - 8°,Brazil,2018-12-15T00:00:00Z,2019-12-31T00:00:00Z,BRL,110096602,110096602,BRL,110096602,21188315,FALSE,0.28
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 25) - 8°,Brazil,2018-12-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,35565281.69,35565281,BRL,35565281,6844610,FALSE,0.28
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 25) - 8°,Brazil,2018-12-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,35565281.69,35565281,BRL,35565281,6844610,FALSE,0.28
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 10) - 8°,Brazil,2018-12-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,39244210.65,39244210,BRL,39244210,7552628,FALSE,0.17
7764daf78634437c8d58059674d26e96,ISA CTEEP - 8ª Emissão,ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 10) - 8°,Brazil,2018-12-15T00:00:00Z,2020-12-31T00:00:00Z,BRL,39244210.65,39244210,BRL,39244210,7552628,FALSE,0.17
2d02a140e1674840929801f32b91dbf3,Suzano CRA Verde 2016,Climate Bonds Initiative Project Classification,Land-use,Commercial Forestry,Sustainable forestry (Social and environmental),Brazil,2017-12-01T00:00:00Z,2017-12-01T00:00:00Z,BRL,297483000,297483000,BRL,297483000,116733969,TRUE,1
2d02a140e1674840929801f32b91dbf3,Suzano CRA Verde 2016,Climate Bonds Initiative Project Classification,Land-use,Commercial Forestry,Sustainable forestry (Social and environmental),Brazil,2016-12-01T00:00:00Z,2016-12-01T00:00:00Z,BRL,333434000,333434000,BRL,333434000,97893664,TRUE,1
2d02a140e1674840929801f32b91dbf3,Suzano CRA Verde 2016,Climate Bonds Initiative Project Classification,Land-use,Commercial Forestry,Sustainable forestry (Social and environmental),Brazil,2015-12-01T00:00:00Z,2015-12-01T00:00:00Z,BRL,356583000,356583000,BRL,356583000,108661455,TRUE,1
