bond_handle,bond_name,nomenclature,category,subcategory,project,location,indicator,unit,planned_value,measured_value,can_be_aggregated,methodology_code,measurement_period_start,measurement_period_end
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itaquerê S.A. - 9°,Brazil,# renewable energy generators serviced,unit,NA,688,TRUE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itaquerê S.A. - 9°,Brazil,# renewable energy generators serviced,unit,NA,688,TRUE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itaquerê S.A. - 9°,Brazil,# renewable energy generators serviced,unit,NA,795,TRUE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itaquerê S.A. - 9°,Brazil,# renewable energy generators serviced,unit,NA,795,TRUE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itaquerê S.A. - 9°,Brazil,% revenue green users,percent,NA,3.17,FALSE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itaquerê S.A. - 9°,Brazil,% revenue green users,percent,NA,3.17,FALSE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itaquerê S.A. - 9°,Brazil,% revenue green users,percent,NA,4.43,FALSE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itaquerê S.A. - 9°,Brazil,% revenue green users,percent,NA,4.43,FALSE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 25) - 9°,Brazil,# renewable energy generators serviced,unit,NA,688,TRUE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 25) - 9°,Brazil,# renewable energy generators serviced,unit,NA,688,TRUE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 25) - 9°,Brazil,# renewable energy generators serviced,unit,NA,795,TRUE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 25) - 9°,Brazil,# renewable energy generators serviced,unit,NA,795,TRUE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 25) - 9°,Brazil,% revenue green users,percent,NA,3.13,FALSE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 25) - 9°,Brazil,% revenue green users,percent,NA,3.13,FALSE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 25) - 9°,Brazil,% revenue green users,percent,NA,4.43,FALSE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 25) - 9°,Brazil,% revenue green users,percent,NA,4.43,FALSE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 10) - 9°,Brazil,# renewable energy generators serviced,unit,NA,688,TRUE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 10) - 9°,Brazil,# renewable energy generators serviced,unit,NA,688,TRUE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 10) - 9°,Brazil,# renewable energy generators serviced,unit,NA,795,TRUE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 10) - 9°,Brazil,# renewable energy generators serviced,unit,NA,795,TRUE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 10) - 9°,Brazil,% revenue green users,percent,NA,3.13,FALSE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 10) - 9°,Brazil,% revenue green users,percent,NA,3.13,FALSE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,ICMA Green Bonds Principles Project Categories,Green buildings,Commercial,Commercial Building #2,Colombia,% energy saving,percent,3200,NA,FALSE,NA,2018-12-19T00:00:00Z,2019-12-18T00:00:00Z
9fc875791e3143a1bb3f864a304e8185,Green Bond 2017 - Davivienda,Climate Bonds Initiative Project Classification,Buildings,Commercial,Commercial Building #2,Colombia,% energy saving,percent,3200,NA,FALSE,NA,2018-12-19T00:00:00Z,2019-12-18T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 10) - 9°,Brazil,% revenue green users,percent,NA,4.43,FALSE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Itapura S.A. (Lote 10) - 9°,Brazil,% revenue green users,percent,NA,4.43,FALSE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Aguapeí S.A. - 9°,Brazil,# renewable energy generators serviced,unit,NA,716,TRUE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Aguapeí S.A. - 9°,Brazil,# renewable energy generators serviced,unit,NA,716,TRUE,NA,2020-01-01T00:00:00Z,2020-12-31T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),ICMA Green Bonds Principles Project Categories,Renewable energy,Transmission,Interligação Elétrica Aguapeí S.A. - 9°,Brazil,# renewable energy generators serviced,unit,NA,795,TRUE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
5b9bc195be534adaa28f29ea980225c8,ISA CTEEP - 9ª Emissão (2ª Serie),Climate Bonds Initiative Project Classification,Energy,Transmission,Interligação Elétrica Aguapeí S.A. - 9°,Brazil,# renewable energy generators serviced,unit,NA,795,TRUE,NA,2021-01-01T00:00:00Z,2021-09-30T00:00:00Z
