bond_handle,bond_name,market,stock_exchange,tranche_currency,volume_offered_tranche_currency,volume_raised_tranche_currency,bond_currency,volume_raised_bond_currency,volume_raised_usd
45bc04beee6449828a1dd7bb19ad2945,Local Green Bond - Series XXXIV,Argentina,XMEV,USD,15605522,15605522,USD,15605522,15605522
1c15de3906d74b2d8a7d01d482b86c19,Irani Green Bond 2025,Brazil,BVMF,BRL,505000000,505000000,BRL,505000000,131867558
de08d71d4fcd410eac1c1c388f5743cc,Irani Green Bond 2029,Brazil,NA,BRL,60000000,60000000,BRL,60000000,10531304
a036428305c44970a478ea6648e9e9bb,CRA SOLINFTEC II,Brazil,BVMF,BRL,150000000,150000000,BRL,150000000,27048129
1792bc496a08430098ec7886e2e7ea0f,FSBIOENERGIA,Brazil,BVMF,BRL,210267000,210267000,BRL,210267000,39152293
43da939a64e7473388d28a08a74f1490,Primera Emisión Bono Verde Banco de Bogotá,Colombia,XBOG,COP,300000000000,300000000000,COP,300000000000,77647790
abd0c7b98f1b493c9940586652a55745,Mesa La Paz Green Bond,United States,NA,USD,304150000,304150000,USD,304150000,304150000
57ce82e059004c8db47a7007175c47c1,PTMI11,Brazil,BVMF,BRL,42431000,42431000,BRL,42431000,13415220
2fdfc64b87b840a397dbab7ef4863118,OMNG12,Brazil,BVMF,BRL,220000000,220000000,BRL,220000000,69681997
c772aaa1d45c44249ab562e30a730690,OMGE13,Brazil,BVMF,BRL,1050000000,1050000000,BRL,1050000000,186514140
7c95589261774817a0ed576d49102d56,OMGE12,Brazil,BVMF,BRL,110000000,110000000,BRL,110000000,20861782
16e566aa3fe94a5dad3b8f95dc398955,OMGE22,Brazil,BVMF,BRL,50000000,50000000,BRL,50000000,9482628
63eb049b54cf46b8871604a7b6c595b4,UEP Penonome II,Panama,NA,USD,262664000,262664000,USD,262664000,262664000
4402b99ca0974803b1b4b959a37fca7d,CAF EUR BENCHMARK 7Y,United Kingdom,LSE,EUR,750000000,750000000,EUR,750000000,825187500
49af944d0d1c40e281e6f0f49e870b56,SQM Green Bond 2051,United States,XNYS,USD,700000000,700000000,USD,700000000,700000000
5350c0b9a9a4490689021b2d8added30,Green CRI Órigo,Brazil,NA,BRL,64064000,64064000,BRL,64064000,11908000
731de09d90c6433a8eddaf8aa22dc123,Green FIDC Solar GD Órigo,Brazil,NA,BRL,140389781,140389781,BRL,140389781,24673072
734f4cf2916542dbbaeacbcc4fb98898,Bono verde soberano Colombia (TES),Colombia,XBOG,COP,749999832690,749999832690,COP,749999832690,195213833
734f4cf2916542dbbaeacbcc4fb98898,Bono verde soberano Colombia (TES),Colombia,XBOG,COP,85525650000,85525650000,COP,85525650000,22671176
734f4cf2916542dbbaeacbcc4fb98898,Bono verde soberano Colombia (TES),Colombia,XBOG,COP,649999989279,649999989279,COP,649999989279,172210062
641852f48d4d4d0ab9f8c969be2dcd20,Certificado de Recebimento do Agronegócio (CRA),Brazil,NA,BRL,480000000,480000000,BRL,480000000,94702575
cdd9dbb7c5b7426a8c366cb944a814a9,CRA Verde XP 2021,Brazil,BVMF,BRL,300000000,300000000,BRL,300000000,58050658
b5a27427940641ac941aae5bb87fc15e,Bancolombia Bono Sostenible 2021,Colombia,XBOG,COP,600000000000,600000000000,COP,600000000000,156847983
5d9414c64ce1488fb9135b3bf4414ee5,CHF GREEN BOND BENCHMARK,Switzerland,LSE,CHF,350000000,350000000,CHF,350000000,381887615
f495dc7708c7482192c314338682e805,CRI Athon ESG I,Brazil,NA,BRL,82850000,82850000,BRL,82850000,15906000
